time_s,magnetic_raw_mm,magnetic_filtered_mm,posic_encoder_mm,keyence_mm
1.343,-0.86474609375,-1.069623653130968,-0.8431249999999999,-0.8108500000000001
1.347,-0.8671875,-1.0723858660558196,-0.84677734375,-0.8137399999999999
1.352,-0.8701171875,-1.075221008694859,-0.85052734375,-0.8169299999999999
1.356,-0.873046875,-1.0780014540482572,-0.8543164062499999,-0.8199799999999999
1.36,-0.87548828125,-1.0808001318302036,-0.8581249999999999,-0.8230200000000001
1.365,-0.87890625,-1.0835714609693277,-0.86203125,-0.82606
1.369,-0.8818359375,-1.0864111617155032,-0.8660546875,-0.8291200000000001
1.374,-0.8857421875,-1.0892326300331323,-0.8699609374999999,-0.83213
1.378,-0.88818359375,-1.0919902848508478,-0.8740625,-0.83514
1.382,-0.890625,-1.0947980788470666,-0.8782421874999999,-0.8381700000000001
1.387,-0.89404296875,-1.0975739660933268,-0.88236328125,-0.8411900000000001
1.391,-0.89697265625,-1.1003817600895456,-0.886484375,-0.8442099999999999
1.396,-0.89892578125,-1.103139414907261,-0.8904492187499999,-0.8472299999999999
1.4,-0.90234375,-1.105828698117925,-0.8943945312499999,-0.85025
1.404,-0.9052734375,-1.1085635623999561,-0.8983203124999999,-0.85311
1.409,-0.90771484375,-1.1113121010033975,-0.90208984375,-0.8561099999999999
1.413,-0.9111328125,-1.1139968261069253,-0.905859375,-0.8591200000000001
1.417,-0.9140625,-1.1167408066032287,-0.90953125,-0.86212
1.422,-0.91748046875,-1.1194802289923977,-0.913125,-0.86497
1.426,-0.919921875,-1.1222105351672926,-0.91666015625,-0.86799
1.43,-0.9228515625,-1.1249636318778702,-0.9201171874999999,-0.8709899999999999
1.435,-0.92578125,-1.127730402909858,-0.9234374999999999,-0.8739699999999999
1.439,-0.9287109375,-1.1304561509776168,-0.92669921875,-0.87697
1.443,-0.9326171875,-1.1331818990453737,-0.929921875,-0.87985
1.448,-0.93505859375,-1.135925879541679,-0.933125,-0.8828499999999999
1.452,-0.9375,-1.138665301930848,-0.93630859375,-0.88571
1.456,-0.93994140625,-1.14144118917711,-0.93943359375,-0.88872
1.461,-0.943359375,-1.1442034021019598,-0.9425390625,-0.89188
1.465,-0.94580078125,-1.1470157542053165,-0.9454296875000001,-0.89487
1.47,-0.94873046875,-1.1496959212017064,-0.94828125,-0.8978900000000001
1.474,-0.95263671875,-1.1523806463052342,-0.9510937500000001,-0.90079
1.478,-0.9560546875,-1.1551337430158117,-0.9539257812499999,-0.9037999999999999
1.483,-0.95849609375,-1.1579324207977564,-0.9566992187500001,-0.9068100000000001
1.487,-0.9609375,-1.1607083080440184,-0.95943359375,-0.90985
1.491,-0.9638671875,-1.1634431723260494,-0.96208984375,-0.9128700000000001
1.496,-0.966796875,-1.1661689203938082,-0.9647070312499999,-0.91574
1.5,-0.97021484375,-1.1689083427829754,-0.96728515625,-0.91875
1.504,-0.97314453125,-1.1716614394935547,-0.9698046875,-0.92178
